Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Index,International Securities Identification Number
BRITANNIA,BRITANNIA INDUSTRIES LTD,4814,INR,-0.35395665583408253,304441,1.050909428570738,1160262607803,INR,53.75557627563412,89.5535,INR,-0.14495420004794132,1.52584596221715,Consumer non-durables,Buy,"Nifty 50, Nifty 500, Nifty FMCG, Nifty 200, Nifty India Consumption, Nifty MNC, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 50 Equal Weight, Nifty LargeMidCap 250",INE216A01030
BSE,BSE LTD,4779.75,INR,6.7361157633817825,7034374,1.500594072678436,647478751465,INR,68.94599428785737,69.326,INR,23.142454180832488,0.313823944766986,Finance,Buy,"Nifty 500, Nifty 200, Nifty MidCap 100, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Alpha 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty 200 Momentum 30, Nifty LargeMidCap 250",INE118H01025
BSOFT,BIRLASOFT LTD,404.35,INR,-1.1369193154034174,3138163,1.4498111878400326,112387435826,INR,19.80777615033042,20.4137,INR,2.839798488664973,1.60712078130795,Technology services,Buy,"Nifty 500, Nifty SmallCap 100, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty SmallCap 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Digital",INE836A01035
CAMPUS,CAMPUS ACTIVEWEAR LTD,241.9,INR,-3.6830579335058724,2167522,3.8650190351369904,73875858021,INR,62.118021673257665,3.8942,INR,49.409146715776565,0.289375775113683,Consumer non-durables,Buy,"Nifty 500, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE278Y01022
CAMS,COMPUTER AGE MNGT SER LTD,3815.7,INR,2.9545086611623765,791326,1.2005402177620106,188540270562,INR,41.06435643564356,92.92,INR,41.323193916349815,1.55991925123876,Finance,Buy,"Nifty 500, Nifty SmallCap 100, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty SmallCap 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE596I01012
CANBK,CANARA BANK,87.54,INR,1.9804287045666387,26691971,1.4624952995672178,794589045925,INR,4.835502331028083,18.1036,INR,11.987727101208106,3.67579908675799,Finance,Buy,"Nifty Bank, Nifty 500, Nifty Next 50, Nifty PSU Bank, Nifty 200, Nifty 100, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty LargeMidCap 250",INE476A01022
CANFINHOME,CAN FIN HOMES LTD,675.65,INR,-0.12564671101256802,412119,1.0224912902446275,89752539046,INR,10.809535237181025,62.505,INR,17.642298151375652,1.48356946814035,Finance,Strong buy,"Nifty 500, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE477A01020
CAPLIPOINT,CAPLIN POINT LAB LTD.,1998.25,INR,2.0374294686853776,1080180,10.738379132841438,150883216286,INR,29.625648628613785,67.45,INR,17.400922846097753,0.251889168765743,Health technology,Strong buy,"Nifty 500, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE475E01026
CARBORUNIV,CARBORUNDUM UNIVERSAL LTD,1022.2,INR,4.535460448944114,167885,0.7356975333744672,193769273769,INR,48.93250359023456,20.89,INR,-14.138923140156178,0.393081761006289,Process industries,Buy,"Nifty 500, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing, Nifty LargeMidCap 250",INE120A01034
CARTRADE,CARTRADE TECH LTD,1807.1,INR,5.950984990619138,2494214,5.5604020980579945,85985020175,INR,80.24422735346359,22.52,INR,816.1174843381335,0,Technology services,Buy,"Nifty MicroCap 250, Nifty Total Market",INE290S01011
CASTROLIND,CASTROL INDIA LTD,217.47,INR,0.499098849299881,4533876,0.2917086609840172,215134116669,INR,23.198532157067728,9.3743,INR,7.302862767991025,3.67816091954023,Energy minerals,Buy,"Nifty 500, Nifty Oil and Gas, Nifty SmallCap 100, Nifty Energy, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty SmallCap 50, Nifty MNC, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing",INE172A01027
CCL,CCL PRODUCTS (I) LTD,593.3,INR,4.712319096364266,376249,1.6978653545197409,79328936141,INR,28.91325536062378,20.52,INR,1.0832458953404127,0.757448241036862,Consumer non-durables,Buy,"Nifty 500, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE421D01022
CDSL,CENTRAL DEPO SER (I) LTD,1216.3,INR,3.9306160813466633,8270787,1.7189314467871022,254206710205,INR,45.75411723105396,26.5834,INR,57.412791558353135,0.781057304941215,Finance,Neutral,"Nifty 500, Nifty SmallCap 100, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty SmallCap 50, Nifty Alpha 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE736A01011
CEATLTD,CEAT LTD,2840.2,INR,2.638045677941602,80536,0.777643990533399,115068375635,INR,23.849690353731496,119.0875,INR,-27.86506018841855,1.05459275143249,Consumer durables,Buy,"Nifty 500, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE482A01020
CELLO,CELLO WORLD LTD,577.9,INR,6.134067952249767,1758739,6.430981380295607,127196636268,INR,36.851166942991966,15.682,INR,,0.26048450117218,Consumer durables,Buy,"Nifty 500, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE0LMW01024
CENTRALBK,CENTRAL BANK OF INDIA,45.15,INR,2.520435967302451,5781925,1.7218202240324907,391944429555,INR,10.7502559584752,4.1999,INR,49.2767016172028,0,Finance,,"Nifty 500, Nifty PSU Bank, Nifty SmallCap 100, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE483A01010
CENTURYPLY,CENTURY PLYBOARDS (I) LTD,726.8,INR,3.2093155353592597,120160,0.44084492832050776,161386464555,INR,76.02749040241848,9.5597,INR,-41.24808712272529,0.137665198237885,Producer manufacturing,Buy,"Nifty 500, Nifty Consumer Durables, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE348B01021
CERA,CERA SANITARYWARE LTD,5600.8,INR,3.4025662328071666,42683,1.614309919668386,72268146867,INR,30.76899411846788,182.0274,INR,4.374466738226951,1.07080712086735,Consumer durables,Buy,"Nifty 500, Nifty Consumer Durables, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE739E01017
CESC,CESC LTD,150.82,INR,2.724424465331699,5498233,1.5372793455952265,200094853053,INR,14.321118950177091,10.5313,INR,-0.9229119235328478,2.98111957601855,Utilities,Buy,"Nifty 500, Nifty SmallCap 100, Nifty Energy, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty SmallCap 50, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE486A01021
CGCL,CAPRI GLOBAL CAPITAL LTD,166.74,INR,0.6033546518643659,116569,0.411867481905345,137876954481,INR,36.16919739696312,4.61,INR,42.724458204334375,0.0897666068222621,Finance,Strong buy,"Nifty 500, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE180C01042
CGPOWER,CG POWER AND IND SOL LTD,641.25,INR,-2.039413382218152,3885409,1.4344888964894456,980234721634,INR,104.7605822482887,6.1211,INR,-42.27664510288376,0.2027606644311,Producer manufacturing,Buy,"Nifty 500, Nifty 200, Nifty MidCap 100, Nifty Energy, Nifty MidCap 50, Nifty MidSmallCap 400, Nifty MidCap 150, Nifty Total Market, Nifty 500 MultiCap 50:25:25, Nifty India Manufacturing, Nifty LargeMidCap 250",INE067A01029
CHALET,CHALET HOTELS LTD,815.85,INR,1.4108141702921098,156939,0.5253420402173419,178609153480,INR,167.65304235250602,4.8663,INR,-57.50735672933348,0,Consumer services,Strong buy,"Nifty 500, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE427F01016
CHAMBLFERT,CHAMBAL FERTILIZERS LTD,597.05,INR,3.0195841601242344,2513511,1.1359885052115362,239108790429,INR,14.803198413190353,40.3325,INR,31.854677886532905,1.34025799966494,Process industries,Buy,"Nifty 500, Nifty SmallCap 100, Nifty SmallCap 250, Nifty MidSmallCap 400, Nifty Total Market, Nifty 500 MultiCap 50:25:25",INE085A01013
